video_id,comment_text,like_count
-rYdWF9Ky2U,"unica coisa que está faltando são os efeitos sonoros, tipo aquele UEEPAA do ratinho. UUUUIIIII. hahahahahahagaga coloca no próximooooo",30
-rYdWF9Ky2U,Bom Demaizi,0
-rYdWF9Ky2U,Meu irmão já rir tanto com esse quadro pqp!!! Manoel Gomes foi um convite genial 😂😂😂😂😂,19
-rYdWF9Ky2U,Júlio balestrin no pod paquera,0
-rYdWF9Ky2U,Ah não pow 😂,0
-rYdWF9Ky2U,Isso aqui é cinema,0
-rYdWF9Ky2U,Ele não tem mulher não?,0
-rYdWF9Ky2U,Júlio Balestrin no pod paquera .....,0
-rYdWF9Ky2U,Mano eu acho que todas mulheres aí são solteiras 😂,0
-rYdWF9Ky2U,"ela falando de levar pro maranhão minha cabeça, “ vou pegar meu caminhão encher de put@ véia e levar pro maranhão….",2
-rYdWF9Ky2U,JÚLIO BALESTRIN NO POD PAQUERA!!!!,0
-rYdWF9Ky2U,4 paredes e 4 janelas😂,2
-rYdWF9Ky2U,Manooo que vídeo engraçado… Manoel é Gênio….,0
-rYdWF9Ky2U,"Se ele perguntar se ela gosta de forro eu vo me mata "" brino"" kkkkkkkakakakakakkakakaka",60
-rYdWF9Ky2U,vc gosta de DURMIR CEDO?,0
-rYdWF9Ky2U,bora p cachoeira hoje? amanha ?,3
-rYdWF9Ky2U,Lucas inutilismo no podpaquera pra ontem por favoooor,2
-rYdWF9Ky2U,q bonitinho ele com tesão,1
-rYdWF9Ky2U,Passei mal aqui mano,2
-rYdWF9Ky2U,"Faz tempo que eu n ria tanto com um vídeo mano, muito obrigado",1
