playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
PODPAH EM PARIS,AwNWJERUzN4,O FUTEBOL FEMININO ESTÁ NA FINAL DA OLIMPÍADA - PODPAH EM PARIS #13,422957,15126,34,2024-08-06T23:19:52Z,PT1H17M16S,https://i.ytimg.com/vi/AwNWJERUzN4/hqdefault.jpg
PODPAH EM PARIS,523DAGXyJtM,BIA SOUZA FALA SOBRE OURO OLÍMPICO - PODPAH EM PARIS #12,450755,13830,75,2024-08-05T23:23:50Z,PT1H11M,https://i.ytimg.com/vi/523DAGXyJtM/hqdefault.jpg
PODPAH EM PARIS,RJ85-6sRzTk,PULAMOS CORDA NA RUA E AULA DE JUDÔ AO VIVO COM MEDALISTA ft. LEO GONÇALVES - PODPAH EM PARIS #11,433861,17375,10,2024-08-04T23:20:25Z,PT1H10M31S,https://i.ytimg.com/vi/RJ85-6sRzTk/hqdefault.jpg
PODPAH EM PARIS,o2tdr5TIa-Q,FUTEBOL FEMININO BRILHANDO + REBECA ANDRADE RAINHA - PODPAH EM PARIS #10,456215,19363,22,2024-08-03T23:10:46Z,PT1H2M33S,https://i.ytimg.com/vi/o2tdr5TIa-Q/hqdefault.jpg
PODPAH EM PARIS,B4qE65p0igQ,TODOS OS DETALHES DO PRIMEIRO OURO DO BRASIL EM PARIS - PODPAH EM PARIS #09,450671,17075,29,2024-08-02T23:11:40Z,PT1H1M3S,https://i.ytimg.com/vi/B4qE65p0igQ/hqdefault.jpg
PODPAH EM PARIS,nN6Dg0Mcifs,JORGINHO É ABSURDO NO SKATE TAMBÉM - PODPAH EM PARIS #08,572236,9686,23,2024-08-01T23:22:55Z,PT1H7M31S,https://i.ytimg.com/vi/nN6Dg0Mcifs/hqdefault.jpg
PODPAH EM PARIS,ab4FLsVP_ps,QUAL PAÍS TEM O MELHOR FUTEBOL? - PODPAH EM PARIS #07,449502,14181,14,2024-07-31T23:09:33Z,PT1H47S,https://i.ytimg.com/vi/ab4FLsVP_ps/hqdefault.jpg
PODPAH EM PARIS,wZG_2ka-h2M,O QUE TÁ ACONTECENDO EM PARIS? - PODPAH EM PARIS #06,450927,17906,24,2024-07-30T23:03:37Z,PT56M38S,https://i.ytimg.com/vi/wZG_2ka-h2M/hqdefault.jpg
PODPAH EM PARIS,Jlk26kYmXdE,EM BUSCA DA MONALISA ft. FRED BRUNO - PODPAH EM PARIS #05,102383,4776,15,2024-07-29T23:11:30Z,PT1H2M38S,https://i.ytimg.com/vi/Jlk26kYmXdE/hqdefault.jpg
PODPAH EM PARIS,brZ17-iIn7s,PODPAH EM PARIS - #04,202513,8081,23,2024-07-28T23:18:17Z,PT1H8M53S,https://i.ytimg.com/vi/brZ17-iIn7s/hqdefault.jpg
PODPAH EM PARIS,pfnOkgxQopg,PODPAH EM PARIS - #03,217481,8342,21,2024-07-27T23:12:21Z,PT1H3M23S,https://i.ytimg.com/vi/pfnOkgxQopg/hqdefault.jpg
PODPAH EM PARIS,1G6GIlkGCbQ,ABERTURA DOS JOGOS & ASSALTARAM O ZICO 😱 - PODPAH EM PARIS - #02,236283,9774,31,2024-07-26T23:12:17Z,PT1H2M,https://i.ytimg.com/vi/1G6GIlkGCbQ/hqdefault.jpg
PODPAH EM PARIS,5Iir-DDNg9s,"FÁTIMA BERNARDES ENSINA COMO DAR O ""BOA NOITE"" PERFEITO - PODPAH EM PARIS - #01",316817,18523,54,2024-07-25T23:42:10Z,PT1H32M13S,https://i.ytimg.com/vi/5Iir-DDNg9s/hqdefault.jpg
QUERIDO DIÁRIO,S19DXb68yXQ,FIZEMOS UMA LIVE HISTÓRICA NA BLACK FRIDAY - QUERIDO DIÁRIO com PRISCILA EVELLYN #22,15505,736,12,2024-12-05T15:43:01Z,PT39M21S,https://i.ytimg.com/vi/S19DXb68yXQ/hqdefault.jpg
QUERIDO DIÁRIO,RMyjFhFlbIc,FALEI A REAL SOBRE A NOVA HAMBURGUERIA DO PODPAH - QUERIDO DIÁRIO com PRISCILA EVELLYN #21,52153,2352,22,2024-11-28T15:53:50Z,PT49M6S,https://i.ytimg.com/vi/RMyjFhFlbIc/hqdefault.jpg
QUERIDO DIÁRIO,s4xbvq2r8u4,E ASSIM FOI MEU ENCONTRO COM O BRUNINHO - QUERIDO DIÁRIO com PRISCILA EVELLYN #20,37954,1741,30,2024-11-14T15:54:09Z,PT50M20S,https://i.ytimg.com/vi/s4xbvq2r8u4/hqdefault.jpg
QUERIDO DIÁRIO,sTg8aykRXYM,MC TUTO FALOU A REAL DA NOSSA TREND COM A MÚSICA DELE - QUERIDO DIÁRIO com PRISCILA EVELLYN #19,73070,3471,62,2024-11-07T15:53:59Z,PT50M30S,https://i.ytimg.com/vi/sTg8aykRXYM/hqdefault.jpg
QUERIDO DIÁRIO,n8fL2KXuRSY,PROVANDO OS MELHORES DRINKS DE SÃO PAULO - QUERIDO DIÁRIO com PRISCILA EVELLYN #18,46085,2320,56,2024-10-31T15:42:04Z,PT38M55S,https://i.ytimg.com/vi/n8fL2KXuRSY/hqdefault.jpg
QUERIDO DIÁRIO,qKHKcLGhF5E,VOCÊ NÃO VAI ACREDITAR NO QUE ACONTECEU NA PODPARTY - QUERIDO DIÁRIO com PRISCILA EVELLYN #17,88083,4311,85,2024-10-24T15:53:18Z,PT49M40S,https://i.ytimg.com/vi/qKHKcLGhF5E/hqdefault.jpg
QUERIDO DIÁRIO,8BSslpkGe8I,BAILE DE HALLOWEEN + UMA SALA DE CINEMA SÓ PRA MIM - QUERIDO DIÁRIO com PRISCILA EVELLYN #16,46894,2497,34,2024-10-17T15:55:42Z,PT52M26S,https://i.ytimg.com/vi/8BSslpkGe8I/hqdefault.jpg
QUERIDO DIÁRIO,SXix01G-ISM,TESTANDO FINALIZAÇÕES POLÊMICAS NOS MEUS CACHOS - QUERIDO DIÁRIO com PRISCILA EVELLYN #15,40729,2290,35,2024-10-10T15:47:05Z,PT44M5S,https://i.ytimg.com/vi/SXix01G-ISM/hqdefault.jpg
QUERIDO DIÁRIO,5KRCnEybaME,ACERTANDO DETALHES PRO MELHOR BAILE DO BR - QUERIDO DIÁRIO com PRISCILA EVELLYN #14,48531,2471,44,2024-10-03T15:54:21Z,PT50M6S,https://i.ytimg.com/vi/5KRCnEybaME/hqdefault.jpg
